date,amount,merchant,currency,description,category
2026-01-02,45.50,Carrefour,EUR,Courses hebdo,Alimentation
2026-01-03,12.90,Uber,EUR,Course domicile,Transport
2026-01-05,120.00,Netflix,EUR,Abonnement streaming,Loisirs
2026-01-05,1200.00,Propriétaire,EUR,Loyer janvier,Logement
2026-01-07,35.20,Monoprix,EUR,Courses,Alimentation
2026-01-08,15.90,Spotify,EUR,Abonnement musique,Loisirs
2026-01-10,89.00,SNCF,EUR,Billet train,Transport
2026-01-12,52.40,Carrefour,EUR,Courses,Alimentation
2026-01-14,25.00,Cinema Gaumont,EUR,Film,Loisirs
2026-01-15,150.50,EDF,EUR,Electricité,Logement
2026-01-17,42.80,Carrefour,EUR,Courses,Alimentation
2026-01-18,65.00,Restaurant Le Bistrot,EUR,Dîner,Restaurants
2026-01-20,28.50,Pharmacie,EUR,Médicaments,Santé
2026-01-22,95.00,Zara,EUR,Vêtements,Shopping
2026-01-23,38.90,Carrefour,EUR,Courses,Alimentation
2026-01-25,18.00,Starbucks,EUR,Café,Restaurants
2026-01-26,125.00,Decathlon,EUR,Sport,Shopping
2026-01-27,48.50,Carrefour,EUR,Courses,Alimentation
2026-01-28,22.00,McDonald's,EUR,Fast food,Restaurants
